project_source_id,activity.type,address,rating_program_name,building.URL,reg.date,reg.std,owner.type,zipcode,pilot,cert.date
1000026089,LEED,"San Francisco International Airport, San Francisco CA 94128",LEED NC 2009,http://www.gbig.org/buildings/603182/details,7/18/2012,LEED NC 2009,"Government Use: Other (utility, air",94128,FALSE,NA
1000026109,LEED,"9306 Sorensen Ave, Santa Fe Springs, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/77767/details,7/19/2012,LEED CS 2009,"Investor: REIT,Non-traded",90670,FALSE,NA
1000026114,LEED,"337 D Street, Davis, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/63209/details,7/19/2012,LEED NC 2009,Corporate: Privately Held,95616,FALSE,NA
1000026138,LEED,"11121 Pendleton St, Sun Valley, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/48098/details,7/20/2012,LEED NC 2009,Corporate: Privately Held,91352,FALSE,NA
1000026176,LEED,"49881 170th St W, Lancaster, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/68227/details,7/23/2012,LEED NC 2009,Corporate: Privately Held,93536,FALSE,NA
1000026177,LEED,"1663 Eureka Rd, Roseville, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/53619/details,7/23/2012,LEED EB 2009,Corporate: Privately Held,95661,FALSE,NA
1000026178,LEED,"9119 North Haskell Avenue, North Hills, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122115/details,7/23/2012,LEED NC 2009,"Government Use: Local, County",91343,FALSE,NA
1000026202,LEED,"2151 Hotel Circle South, San Diego, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122117/details,7/24/2012,LEED NC 2009,Corporate: Privately Held,92108,FALSE,NA
1000026224,LEED,"10607 Folsom Blvd, Rancho Cordova, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/797738/details,7/25/2012,LEED EB 2009,Corporate: Publicly Traded,95670,FALSE,NA
1000026320,LEED,"1600 Pacific Hwy, San Diego, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/53124/details,7/31/2012,LEED NC 2009,"Government Use: Local, County",92101,FALSE,NA
1000026331,LEED,"1390 Market St, Fox Plaza Shopping Center, San Francisco, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/51181/details,7/31/2012,LEED EB 2009,Corporate: Privately Held,94102,FALSE,NA
1000026346,LEED,"3175 Bowers Ave, Santa Clara, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/62411/details,7/31/2012,LEED CS 2009,"Corporate: Privately Held, Educational: University, Public",95054,FALSE,NA
1000026392,LEED,"5998 Alcala Park, University of San Diego, San Diego, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/39890/details,8/3/2012,LEED NC 2009,"Educational: College, Private",92111,FALSE,NA
1000026413,LEED,"1330 Geneva Dr, Sunnyvale, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/26068/details,8/3/2012,LEED EB 2009,Corporate: Publicly Traded,94089,FALSE,NA
1000026414,LEED,"495 E Java Dr, Sunnyvale, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/37997/details,8/3/2012,LEED EB 2009,Corporate: Publicly Traded,94089,FALSE,NA
1000026415,LEED,"1275 Crossman Ave, Sunnyvale, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/25657/details,8/3/2012,LEED EB 2009,Corporate: Publicly Traded,94089,FALSE,NA
1000026416,LEED,"4405 Cushing Parkway, Fremont, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/964213/details,8/3/2012,LEED NC 2009,Corporate: Privately Held,94538,FALSE,NA
1000026453,LEED,"1450 Coleman Ave, Santa Clara, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/51816/details,8/6/2012,LEED CI 2009,Corporate: Privately Held,95050,FALSE,NA
1000026466,LEED,"1260 Crossman Ave, Sunnyvale, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/3382/details,8/6/2012,LEED EB 2009,Corporate: Publicly Traded,94089,FALSE,NA
1000026467,LEED,"1240 Crossman Ave, Sunnyvale, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/25441/details,2/7/2012,LEED NC 2009,Corporate: Publicly Traded,94089,FALSE,NA
1000026504,LEED,"505 Brannan Street, San Francisco, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/1026273/details,8/8/2012,LEED CS 2009,Corporate: Privately Held,94107,FALSE,NA
1000026513,LEED,"1740 North Main Drive, Salinas, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/122156/details,8/8/2012,LEED CI 2009,Corporate: Publicly Traded,93906,FALSE,NA
1000026548,LEED,"18502 Beach Boulevard, Huntington Beach, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/1031753/details,8/9/2012,LEED CS 2009,Corporate: Privately Held,92648,FALSE,NA
1000026557,LEED,"2600 Michelson Dr, Irvine, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/32157/details,8/9/2012,LEED EB 2009,"Corporate: Privately Held, Corporate: Publicly Traded",92612,FALSE,NA
1000026578,LEED,"2321 Main St, Santa Monica, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/58241/details,8/10/2012,LEED NC 2009,Office,90405,FALSE,NA
1000026583,LEED,"900 Villa St, Mountain View, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/77146/details,8/10/2012,LEED CS 2009,Investor: Individual/Family,94041,FALSE,NA
1000026610,LEED,"950 Tower Ln, Foster City, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/44238/details,8/13/2012,LEED EB 2009,"Investor: Equity Fund, Corporate: Privately Held",94404,FALSE,NA
1000026612,LEED,"7295 Gorgonio Way, Moreno Valley, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/122166/details,8/13/2012,LEED CS 2009,Corporate: Privately Held,92553,FALSE,NA
1000026619,LEED,"520 Newport Center Dr, Newport Beach, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/69226/details,8/14/2012,LEED CS 2009,"Corporate: Privately Held, Corporate: Publicly Traded",92660,FALSE,NA
1000026624,LEED,"27582 Pioneer Avenue, Redlands, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/122170/details,8/14/2012,LEED CS 2009,Corporate: Publicly Traded,92374,FALSE,NA
1000026632,LEED,"8026 Hemlock Ave, Fontana, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/75564/details,8/14/2012,LEED NC 2009,Corporate: Privately Held,92336,FALSE,NA
1000026645,LEED,"2019 Arch Airport Rd, Stockton, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/56323/details,8/15/2012,LEED CI 2009,Corporate: Privately Held,95206,FALSE,NA
1000026673,LEED,"23 Geary St, San Francisco, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/57987/details,8/16/2012,LEED CI 2009,Corporate: Privately Held,94108,FALSE,NA
1000026689,LEED,"275 Horton Plaza, Westfield Horton Plaza, San Diego, CA, USA",LEED Retail CI 2009,http://www.gbig.org/buildings/122181/details,8/17/2012,LEED Retail CI 2009,Investor: Individual/Family,92101,FALSE,NA
1000026709,LEED,"14630 Plummer St, Los Angeles, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/51902/details,8/20/2012,LEED NC 2009,"Government Use: Local, City",91402,FALSE,NA
1000026722,LEED,"131 28th Ave, San Mateo, CA, USA",LEED Schools 2009,http://www.gbig.org/buildings/50544/details,8/20/2012,LEED Schools 2009,"Educational: K-12 School, Private",94403,FALSE,NA
1000026737,LEED,"3140 Peacekeeper Way, McClellan Park, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/614937/details,8/21/2012,LEED CS 2009,Corporate: Privately Held,95652,FALSE,NA
1000026819,LEED,"700 Tiverton Avenue, UCLA, Los Angeles, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/122196/details,8/23/2012,LEED CI 2009,"Educational: University, Public",91773,FALSE,NA
1000026890,LEED,"17820 Slover Ave, Bloomington, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/54384/details,8/28/2012,LEED NC 2009,"Investor: REIT, Publicly traded",92316,FALSE,NA
1000026894,LEED,"2700 Middlefield Rd, Redwood City, CA, USA",LEED HC 2009,http://www.gbig.org/buildings/60001/details,8/28/2012,LEED HC 2009,Corporate: Privately Held,94063,FALSE,NA
1000026909,LEED,"580 Texas St, Fairfield, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/70640/details,8/28/2012,LEED NC 2009,Government Use: State,94533,FALSE,NA
1000026968,LEED,"3423 Hillview Ave, Palo Alto, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/63404/details,8/30/2012,LEED NC 2009,Corporate: Publicly Traded,94304,FALSE,NA
1000026969,LEED,"3429 Hillview Ave, Palo Alto, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/63417/details,8/30/2012,LEED NC 2009,Corporate: Publicly Traded,94304,FALSE,NA
1000026970,LEED,"3427 Hillview Ave, Palo Alto, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/63415/details,8/30/2012,LEED NC 2009,Corporate: Publicly Traded,94304,FALSE,NA
1000026998,LEED,"988 Market St, San Francisco, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/78448/details,8/31/2012,LEED CS 2009,Corporate: Privately Held,94102,FALSE,NA
1000027010,LEED,"611 Front St, San Francisco, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/71549/details,8/31/2012,LEED NC 2009,Non-Profit (that do not fit into ot,94111,FALSE,NA
1000027081,LEED,"8350 Pardee Dr, Oakland, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/76123/details,9/5/2012,LEED CS 2009,Corporate: Privately Held,94621,FALSE,NA
1000027082,LEED,"22750 Cactus Ave, Moreno Valley, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/57922/details,9/5/2012,LEED CS 2009,Corporate: Privately Held,92553,FALSE,NA
1000027103,LEED,"205 East River Park Circle, Fresno, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/112699/details,9/6/2012,LEED EB 2009,Investor: Individual/Family,93720,FALSE,NA
1000027107,LEED,"4401 Slusser Rd, Windsor, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/66822/details,9/6/2012,LEED NC 2009,Corporate: Privately Held,95492,FALSE,NA
1000027139,LEED,"2003 Oak Terrace Ln, Thousand Oaks, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/56149/details,9/10/2012,LEED CI 2009,Laboratory,91320,FALSE,NA
1000027141,LEED,"4216 El Camino Real, Palo Alto, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/1084192/details,9/10/2012,LEED NC 2009,Corporate: Privately Held,94306,FALSE,NA
1000027207,LEED,"1977 Citracado Parkway, Escondido, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/93034/details,9/12/2012,LEED NC 2009,Corporate: Privately Held,92029,FALSE,NA
1000027208,LEED,"4 Embarcadero Center #550, San Francisco, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/797911/details,9/12/2012,LEED CI 2009,Corporate: Privately Held,94111,FALSE,NA
1000027219,LEED,"3276 Livermore Outlets Dr, Livermore, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/1313045/details,8/8/2012,LEED Retail CI 2009,Corporate: Publicly Traded,94551,FALSE,NA
1000027346,LEED,"2025 Addison St, Berkeley, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/56395/details,9/18/2012,LEED CI 2009,Corporate: Privately Held,94704,FALSE,NA
1000027408,LEED,"5335 West 135th Street, Gardena, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/123186/details,9/20/2012,LEED EB 2009,"Government Use: Local, County",90250,FALSE,NA
1000027410,LEED,"4103 N Viking Way b, Long Beach, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/1264946/details,9/20/2012,LEED NC 2009,"Educational: College, Public",90808,FALSE,NA
1000027411,LEED,"61 South Fair Oaks Avenue, Pasadena, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/71478/details,9/20/2012,LEED CS 2009,Corporate: Privately Held,91105,FALSE,NA
1000027424,LEED,"3000 Newell Drive, American Canyon, CA, USA",LEED Schools 2009,http://www.gbig.org/buildings/122237/details,9/12/2012,LEED Schools 2009,"Educational: K-12 School, Public",94503,FALSE,NA
1000027442,LEED,"460 Bryant Street, San Francisco, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/123190/details,9/21/2012,LEED CS 2009,Corporate: Privately Held,94107,FALSE,NA
