,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL,rating_program_name
3962,1000017484,LEED,K-12 Education,K-12,"5,280 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Burbank Public Service Dept.,"1915 W Monterey Ave, Burbank, CA, USA",http://www.gbig.org/buildings/7009,LEED Schools 2009
3963,1000016695,LEED,State Government,K-12,"27,612 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"2101 Eastbluff Dr, Newport Beach, CA, USA",http://www.gbig.org/buildings/8156,LEED Schools 2009
3964,1000013594,LEED,K-12 Education,K-12,"4,400 sq ft",NA,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"495 Valley Rd, Arroyo Grande, CA, USA",http://www.gbig.org/buildings/38001,LEED Schools 2009
3965,1000013597,LEED,K-12 Education,K-12,"5,680 sq ft",NA,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"495 Valley Rd, Arroyo Grande, CA, USA",http://www.gbig.org/buildings/38001,LEED Schools 2009
3966,1000014696,LEED,K-12 Education,K-12,"28,430 sq ft",November 03 2014,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"3537 Farmdale Ave, Los Angeles, CA, USA",http://www.gbig.org/buildings/35052,LEED Schools 2009
3967,1000014763,LEED,K-12 Education,K-12,"37,900 sq ft",July 11 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"2101 Eastbluff Dr, Newport Beach, CA, USA",http://www.gbig.org/buildings/8156,LEED Schools 2009
3968,1000011137,LEED,Non-profit,K-12,"65,324 sq ft",October 31 2013,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"1625 Newton Ave, San Diego, CA, USA",http://www.gbig.org/buildings/5656,LEED Schools 2009
3969,1000011586,LEED,K-12 Education,K-12,"15,211 sq ft",July 18 2013,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"4130 W 154th St, Lawndale, CA, USA",http://www.gbig.org/buildings/36453,LEED Schools 2009
3970,1000007602,LEED,K-12 Education,K-12,"22,300 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"975 N San Carlos Dr, Walnut Creek, CA, USA",http://www.gbig.org/buildings/22231,LEED Schools 2009
3971,1000007529,LEED,K-12 Education,Educational Facilities,"3,395 sq ft",NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"15555 Sanborn Rd, Saratoga, CA, USA",http://www.gbig.org/buildings/27500,LEED Schools 2009
