"","project_source_id","Activity.Type","Owner.Type","Space.Type","Project.Size","Certification.date","CBSA","USGBC.Chapter","EPA.Region","ASHRAE.Climate.Zone","Urban.Rural.Classification","Electric.Utility.Provider","address","building.URL","rating_program_name","building.URL","reg.date","reg.std","owner.type"
"36","10000548","LEED","Higher Education","Higher Ed","17,000 sq ft","April 27 2006","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","LaKretz Hall, 619 Charles E Young Drive East, University of California, Los Angeles, Los Angeles, CA, USA","http://www.gbig.org/buildings/783593","LEED NC 2.0","http://www.gbig.org/buildings/783593/details","10/25/2002","LEED NC 2.0","Other"
"37","10000555","LEED","State Government","Office","550,000 sq ft","August 18 2006","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Sacramento Municipal Utility District","400 Q St, Sacramento, CA, USA","http://www.gbig.org/buildings/36059","LEED NC 2.0","http://www.gbig.org/buildings/36059/details","10/30/2002","LEED NC 2.0","State Government, Government Use: State"
"38","10000327","LEED","Non-profit","Retail","11,372 sq ft","March 10 2006","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","19480 Bear Creek Road, Los Gatos, CA, USA","http://www.gbig.org/buildings/112792","LEED NC 2.0","http://www.gbig.org/buildings/112792/details","03/12/2002","LEED NC 2.0","Non-Profit Org."
"39","10000345","LEED","Local Government","Office: Mixed Use","20,108 sq ft",NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","3369 Union Ave, San Jose, CA, USA","http://www.gbig.org/buildings/34631","LEED NC 2.0","http://www.gbig.org/buildings/34631/details","03/27/2002","LEED NC 2.0","Local Government"
"40","10000369","LEED","Local Government","Laboratory","28,975 sq ft","December 18 2005","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large fringe metro","Pacific Gas and Electric Co.","50 Tower Road, Highlands-Baywood Park, CA, USA","http://www.gbig.org/buildings/112797","LEED NC 2.0","http://www.gbig.org/buildings/112797/details","04/22/2002","LEED NC 2.0","Local Government"
"41","10000406","LEED","Non-profit","Retail","5,020 sq ft","December 11 2003","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","4700 N Griffin Ave, Los Angeles, CA, USA","http://www.gbig.org/buildings/15434","LEED NC 2.0","http://www.gbig.org/buildings/15434/details","05/29/2002","LEED NC 2.0","Non-Profit Org."
"42","10000416","LEED","Non-profit","Other","66,000 sq ft","March 31 2004","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Inland Empire Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large fringe metro","Southern California Edison Co.","6075 Kimball Ave, Chino, CA, USA","http://www.gbig.org/buildings/18019","LEED NC 2.0","http://www.gbig.org/buildings/18019/details","06/17/2002","LEED NC 2.0","Other, Government Use: Other (utility, air"
"43","10000434","LEED","Corporate","Retail","12,952 sq ft","November 26 2007","Truckee-Grass Valley, CA Micropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Micropolitan (nonmetropolitan)",NA,"13051 Fairway Dr, Truckee, CA, USA","http://www.gbig.org/buildings/1308747","LEED NC 2.1","http://www.gbig.org/buildings/1308747/details","07/08/2002","LEED NC 2.1","Profit Org."
"44","10000950","LEED","Federal Government","Office","652,423 sq ft","September 29 2009","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","San Francisco Federal Building, 90 7th Street, San Francisco, CA, USA","http://www.gbig.org/buildings/869318","LEED NC 2.1","http://www.gbig.org/buildings/869318/details","08/07/2003","LEED NC 2.1","Federal Government, Investor: REIT, Publicly traded"
"45","10000962","LEED","Corporate","Industrial Manufacturing","15,039 sq ft","February 10 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","3440 W El Segundo Blvd, Hawthorne, CA, USA","http://www.gbig.org/buildings/34800","LEED NC 2.1","http://www.gbig.org/buildings/34800/details","08/22/2003","LEED NC 2.1","Profit Org."
"46","10000689","LEED","Local Government","Office","643,000 sq ft","September 07 2005","Vallejo-Fairfield, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Medium metro","Pacific Gas and Electric Co.","530 Clay St, Fairfield, CA, USA","http://www.gbig.org/buildings/38936","LEED NC 2.1","http://www.gbig.org/buildings/38936/details","03/03/2003","LEED NC 2.1","Local Government"
"47","10000693","LEED","State Government",NA,"6,000 sq ft","February 14 2007","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Inland Empire Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro",NA,"73-510 Fred Waring Dr, Palm Desert, CA, USA","http://www.gbig.org/buildings/1308756","LEED NC 2.1","http://www.gbig.org/buildings/1308756/details","03/05/2003","LEED NC 2.1","State Government"
"48","10000698","LEED","K-12 Education","Higher Ed","15,000 sq ft","February 05 2007","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","121 Avenida Grande, San Jose, CA, USA","http://www.gbig.org/buildings/25140","LEED NC 2.1","http://www.gbig.org/buildings/25140/details","03/11/2003","NCES Public Schools","Local Government"
"49","10000716","LEED","Corporate","Other","86,424 sq ft","January 05 2006","Truckee-Grass Valley, CA Micropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Micropolitan (nonmetropolitan)","Truckee-Donner Public Utility District","12915 Fairway Dr, Truckee, CA, USA","http://www.gbig.org/buildings/599784","LEED NC 2.1","http://www.gbig.org/buildings/599784/details","03/13/2003","LEED NC 2.1","Profit Org."
"50","10000723","LEED","Local Government","Service","330,000 sq ft","October 08 2008","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","55 Music Concourse Dr, San Francisco, CA, USA","http://www.gbig.org/buildings/17034","LEED NC 2.1","http://www.gbig.org/buildings/17034/details","03/19/2003","LEED NC 2.1","Non-Profit Org., Non-Profit (that do not fit into ot"
"51","10000725","LEED","Non-profit","Office","321,111 sq ft","January 12 2006","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","1776 Main St, Santa Monica, CA, USA","http://www.gbig.org/buildings/6338","LEED NC 2.1","http://www.gbig.org/buildings/6338/details","03/19/2003","LEED NC 2.1","Non-Profit Org."
"52","10000735","LEED","Higher Education","Higher Ed","25,711 sq ft","January 12 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","550 Foothill Boulevard, Pomona, CA, USA","http://www.gbig.org/buildings/112849","LEED NC 2.1","http://www.gbig.org/buildings/112849/details","03/21/2003","LEED NC 2.1","Other"
"53","10000754","LEED","Higher Education","Higher Ed","25,114 sq ft","June 25 2008","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","1900 Pico Blvd, Santa Monica, CA, USA","http://www.gbig.org/buildings/6905","LEED NC 2.1","http://www.gbig.org/buildings/6905/details","03/28/2003","LEED NC 2.1","Local Government, Educational: Community College, Pub, Educational: University, Public, Educational: College, Public"
"54","10000755","LEED","Non-profit","Office: Mixed Use","8,555 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","San Diego Gas & Electric Co.","3850 Westgate Pl, San Diego, CA, USA","http://www.gbig.org/buildings/13550","LEED NC 2.1","http://www.gbig.org/buildings/13550/details","03/29/2003","LEED NC 2.1","Non-Profit Org."
"55","10000776","LEED","State Government","Industrial Manufacturing","14,656 sq ft","February 06 2007","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","San Diego Gas & Electric Co.","6111 Business Center Ct, San Diego, CA, USA","http://www.gbig.org/buildings/18107","LEED NC 2.1","http://www.gbig.org/buildings/18107/details","04/11/2003","LEED NC 2.1","State Government"
"56","10000983","LEED","Federal Government","Laboratory","96,000 sq ft","October 04 2007","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro",NA,"1 Cyclotron Road, Berkeley, CA, USA","http://www.gbig.org/buildings/987604","LEED NC 2.1","http://www.gbig.org/buildings/987604/details","09/08/2003","LEED NC 2.1","Educational: University, Public, Federal Government, Government Use: Federal"
