,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL
4865,1000034519,LEED,NA,Public Assembly,"24,566 sq ft",October 16 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"5870 Atlantic Avenue, Long Beach, CA, USA",http://www.gbig.org/buildings/323039
4866,1000034535,LEED,NA,Office,"254,820 sq ft",March 16 2017,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"1 Dna Way, South San Francisco, CA, USA",http://www.gbig.org/buildings/127009
4867,1000034437,LEED,NA,Office,"21,086 sq ft",December 07 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"4450 MacArthur Blvd, Newport Beach, CA, USA",http://www.gbig.org/buildings/37215
4868,1000034251,LEED,NA,Office,"35,000 sq ft",NA,"Merced, CA Metropolitan Statistical Area",Central California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Small metro,Pacific Gas and Electric Co.,"444 Mercy Avenue, Merced, CA, USA",http://www.gbig.org/buildings/322256
4869,1000034179,LEED,NA,Retail,"187,856 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"5500 Beach Boulevard, Buena Park, CA, USA",http://www.gbig.org/buildings/110016
4870,1000034368,LEED,NA,Health Care,"79,905 sq ft",June 15 2016,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",Redwood Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"50 Mark West Springs Rd, Santa Rosa, CA, USA",http://www.gbig.org/buildings/38124
4871,1000034110,LEED,NA,Office,"205,745 sq ft",June 17 2019,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large fringe metro,NA,"279 East Grand Avenue, South San Francisco, CA, USA",http://www.gbig.org/buildings/449088
4872,1000033841,LEED,NA,Laboratory,"264,222 sq ft",January 02 2018,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"4795 Executive Dr, San Diego, CA, USA",http://www.gbig.org/buildings/1265175
4873,1000033883,LEED,NA,Office,"58,043 sq ft",NA,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Sacramento Municipal Utility District,"401 I Street, Sacramento, CA, USA",http://www.gbig.org/buildings/109741
4874,1000033909,LEED,NA,Warehouse and Distribution,"809,338 sq ft",May 25 2016,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"27050 Palmetto Avenue, Redlands, CA, USA",http://www.gbig.org/buildings/109755
4875,1000033474,LEED,NA,Warehouse and Distribution,2.049 Million sq ft,September 17 2014,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"16300 Fern Avenue, Chino, CA, USA",http://www.gbig.org/buildings/98941
4876,1000033368,LEED,NA,Office,1.153 Million sq ft,NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"6 Moffett Park Drive, Sunnyvale, CA, USA",http://www.gbig.org/buildings/99788
