"","building.URL","reg.date","reg.std","owner.type"
"213","http://www.gbig.org/buildings/1309704/details","11/04/2005","LEED NC 2.1","Profit Org."
"214","http://www.gbig.org/buildings/1309706/details","11/07/2005","LEED NC 2.1","Local Government"
"215","http://www.gbig.org/buildings/833/details","12/06/2005","LEED NC 2.1","Individual"
"216","http://www.gbig.org/buildings/25853/details","02/17/2004","LEED NC 2.1","State Government, Local Government, Educational: Community College, Pub"
"217","http://www.gbig.org/buildings/5809/details","12/20/2005","LEED NC 2.1","State Government"
"218","http://www.gbig.org/buildings/32432/details","12/22/2005","LEED NC 2.1","Local Government"
"219","http://www.gbig.org/buildings/42364/details","12/23/2005","LEED NC 2.1","Profit Org."
"220","http://www.gbig.org/buildings/1145/details","01/04/2006","LEED NC 2.1","Local Government"
"221","http://www.gbig.org/buildings/2385/details","01/12/2006","LEED NC 2.1","State Government, Government Use: State"
"222","http://www.gbig.org/buildings/113208/details","01/17/2006","LEED NC 2.1","Federal Government"
"223","http://www.gbig.org/buildings/1731/details","12/07/2005","NBI Zero-Net Energy Case Studies","Individual"
"224","http://www.gbig.org/buildings/1301490/details","01/03/2006","LEED NC 2.1","Profit Org."
"225","http://www.gbig.org/buildings/113637/details","05/21/2007","LEED NC 2.1","Local Government"
"226","http://www.gbig.org/buildings/1042458/details","10/05/2007","LEED Retail CI 1.0 Pilot","Educational: College, Public, Other, Educational: University, public"
"227","http://www.gbig.org/buildings/26373/details","03/19/2007","LEED Retail CI 1.0 Pilot","Profit Org."
"228","http://www.gbig.org/buildings/21251/details","03/19/2007","LEED CS 2.0","Profit Org."
"229","http://www.gbig.org/buildings/33117/details","03/15/2007","LEED CS 2.0","Individual, Corporate: Privately Held, Profit Org."
"230","http://www.gbig.org/buildings/112170/details","03/20/2007","LEED CS 2.0","Corporate: Publicly Traded, Profit Org."
"231","http://www.gbig.org/buildings/12759/details","04/04/2007","LEED CS 2.0","Profit Org."
"232","http://www.gbig.org/buildings/10899/details","06/06/2005","Enterprise Green Communities 2005","Profit Org."
"233","http://www.gbig.org/buildings/13558/details","03/21/2007","LEED CS 2.0","Profit Org."
"234","http://www.gbig.org/buildings/17606/details","04/06/2007","LEED CS 2.0","Profit Org."
"235","http://www.gbig.org/buildings/16660/details","04/13/2007","LEED CS 2.0","Profit Org."
"236","http://www.gbig.org/buildings/39575/details","04/16/2007","LEED CS 2.0","Profit Org."
"237","http://www.gbig.org/buildings/112890/details","10/27/2003","LEED CI 1.0 Pilots Only","Profit Org., Corporate: Privately Held"
"238","http://www.gbig.org/buildings/44503/details","05/07/2007","LEED CS 2.0","Profit Org., Investor: Bank"
"239","http://www.gbig.org/buildings/28943/details","05/13/2007","LEED CS 2.0","Profit Org."
"240","http://www.gbig.org/buildings/1371737/details","05/30/2007","LEED CS 2.0","Profit Org."
"241","http://www.gbig.org/buildings/16280/details","12/08/2006","LEED CS 2.0","Profit Org., Investor: REIT,Non-traded"
"242","http://www.gbig.org/buildings/24511/details","01/10/2007","LEED CS 2.0","Individual"
"243","http://www.gbig.org/buildings/44188/details","02/20/2007","LEED CS 2.0","Profit Org."
"244","http://www.gbig.org/buildings/8667/details","04/27/2006","LEED CS 2.0","Profit Org."
"245","http://www.gbig.org/buildings/43359/details","07/05/2006","LEED CS 2.0","Other"
"246","http://www.gbig.org/buildings/32044/details","08/29/2006","LEED CS 2.0","Other"
"247","http://www.gbig.org/buildings/7791/details","10/03/2006","LEED CS 2.0","Profit Org."
"248","http://www.gbig.org/buildings/32473/details","10/05/2006","LEED CS 2.0","Profit Org."
"249","http://www.gbig.org/buildings/110720/details","10/09/2006","LEED CS 2.0","Individual, Profit Org., Profit Org., Corporate: Publicly Traded"
"250","http://www.gbig.org/buildings/434860/details","10/26/2006","LEED CS 2.0","Profit Org., Corporate: Publicly Traded"
"251","http://www.gbig.org/buildings/7799/details","11/29/2006","LEED CS 2.0","Profit Org., Investor: Investment Manager, Corporate: Privately Held"
"252","http://www.gbig.org/buildings/306274/details","11/17/2006","LEED CS 2.0","Profit Org."
"253","http://www.gbig.org/buildings/1875/details","12/06/2006","LEED CS 2.0","Other, Non-Profit (that do not fit into ot"
"254","http://www.gbig.org/buildings/113417/details","12/20/2006","LEED CS 2.0","Profit Org."
"255","http://www.gbig.org/buildings/11297/details","12/06/2001","LEED CS 2.0","Profit Org."
"256","http://www.gbig.org/buildings/786748/details","10/05/2007","LEED CS 2.0","Individual"
"257","http://www.gbig.org/buildings/28996/details","10/09/2007","LEED CS 2.0","Profit Org."
"258","http://www.gbig.org/buildings/23295/details","10/04/2007","LEED CS 2.0","Profit Org."
"259","http://www.gbig.org/buildings/23295/details","10/04/2007","LEED CS 2.0","Profit Org."
"260","http://www.gbig.org/buildings/1352/details","10/10/2007","LEED CS 2.0","Other"
"261","http://www.gbig.org/buildings/786766/details","10/11/2007","LEED CS 2.0","Profit Org."
"262","http://www.gbig.org/buildings/24120/details","10/11/2007","LEED CS 2.0","Profit Org."
"263","http://www.gbig.org/buildings/22235/details","10/17/2007","LEED CS 2.0","Profit Org."
"264","http://www.gbig.org/buildings/14115/details","10/18/2007","LEED CS 2.0","Profit Org."
"265","http://www.gbig.org/buildings/9848/details","10/23/2007","LEED CS 2.0","Profit Org."
"266","http://www.gbig.org/buildings/1323668/details","10/24/2007","LEED CS 2.0","Profit Org."
"267","http://www.gbig.org/buildings/28555/details","11/01/2007","LEED CS 2.0","Profit Org."
"268","http://www.gbig.org/buildings/7991/details","07/23/2007","LEED CS 2.0","Profit Org., Corporate: Publicly Traded"
"269","http://www.gbig.org/buildings/1309986/details","08/01/2007","LEED CS 2.0","Profit Org."
"270","http://www.gbig.org/buildings/57576/details","08/22/2007","LEED CS 2.0","Profit Org."
"271","http://www.gbig.org/buildings/33376/details","10/27/2006","LEED CI 2.0","Profit Org., Corporate: Privately Held, Non-Profit Org."
"272","http://www.gbig.org/buildings/32799/details","09/05/2007","LEED CS 2.0","Profit Org."
"273","http://www.gbig.org/buildings/786653/details","09/05/2007","LEED CS 2.0","Profit Org."
"274","http://www.gbig.org/buildings/83078/details","08/28/2007","LEED CS 2.0","Profit Org., Corporate: Publicly Traded"
"275","http://www.gbig.org/buildings/123396/details","03/30/2005","National Register of Historic Places","Profit Org., Local Government, Individual, Corporate: Publicly Traded"
"276","http://www.gbig.org/buildings/17683/details","09/18/2007","LEED CS 2.0","Profit Org."
"277","http://www.gbig.org/buildings/1306058/details","09/11/2007","LEED CS 2.0","Individual"
"278","http://www.gbig.org/buildings/9118/details","09/12/2007","LEED CS 2.0","Individual"
"279","http://www.gbig.org/buildings/5100/details","10/17/2007","LEED CS 2.0","Profit Org."
"280","http://www.gbig.org/buildings/601987/details","09/27/2007","LEED CS 2.0","Profit Org."
"281","http://www.gbig.org/buildings/33312/details","05/16/2007","LEED CS 2.0","Profit Org."
